tanggal,lintang,bujur,kedalaman,magnitudo,class
2024-01-21 00:31:39,-8.9,123.8007,97.5,3.85,Lemah
2024-01-21 01:10:56,-8.68,118.99418,98.6,2.82,Lemah
2024-01-21 09:08:40,-10.38,120.20655,15.9,3.35,Lemah
2024-01-21 09:38:47,-7.58,128.76584,157.9,4.95,Sedang
2024-01-21 09:56:31,0.21,122.53956,126.0,3.23,Lemah
2024-01-21 10:03:17,0.17,122.8597,227.2,3.81,Lemah
2024-01-21 10:16:53,0.3,126.62378,23.3,3.79,Lemah
2024-01-21 12:40:46,0.54,100.72348,249.6,4.07,Sedang
2024-01-21 13:30:05,-8.33,116.22197,18.9,2.87,Lemah
2024-01-21 13:37:53,-10.03,119.7506,10.0,3.44,Lemah
2024-01-21 13:43:42,3.8,126.13323,50.9,4.19,Sedang
2024-01-21 16:55:51,-6.36,104.87187,10.0,3.22,Lemah
2024-01-21 18:21:26,-10.03,119.75332,10.0,3.2,Lemah
2024-01-21 19:03:17,-8.24,119.2561,10.0,3.09,Lemah
2024-01-21 19:18:01,-2.45,121.01365,10.0,2.89,Lemah
2024-01-21 20:07:11,-9.82,116.54455,10.0,4.11,Sedang
2024-01-21 20:16:43,-9.18,123.72229,61.0,3.92,Lemah
2024-01-21 20:44:42,-1.09,121.49235,10.0,2.75,Lemah
2024-01-21 20:47:19,-1.08,121.49802,10.0,3.26,Lemah
2024-01-21 21:29:44,-9.3,112.92667,10.0,4.06,Sedang
2024-01-22 00:49:33,-7.74,112.25114,172.8,3.24,Lemah
2024-01-22 04:02:22,-10.44,120.18613,10.0,5.06,Sedang
2024-01-22 04:12:45,-10.34,120.23195,10.1,4.24,Sedang
2024-01-22 07:50:26,1.8,99.1075,10.0,2.91,Lemah
2024-01-22 08:20:00,-8.53,112.38939,116.9,4.38,Sedang
2024-01-22 12:02:22,5.28,125.50134,169.7,4.59,Sedang
2024-01-22 12:32:32,-8.95,124.04144,59.3,3.24,Lemah
2024-01-22 13:08:17,-10.15,124.01099,10.0,2.82,Lemah
2024-01-22 13:09:55,-4.66,121.3232,10.0,2.86,Lemah
2024-01-22 16:13:43,-9.96,119.74693,10.0,4.62,Sedang
2024-01-22 19:02:36,5.14,94.88966,16.7,3.65,Lemah
2024-01-22 19:15:33,-2.44,120.86028,10.0,2.94,Lemah
2024-01-22 20:48:47,-8.36,119.70883,164.7,3.88,Lemah
2024-01-22 21:25:12,-0.76,124.49246,10.0,4.17,Sedang
2024-01-22 21:25:12,-0.76,124.49246,10.0,4.17,Sedang
2024-01-22 22:47:14,5.41,111.46992,609.2,4.73,Sedang
2024-01-23 03:44:09,-8.51,108.52643,10.0,3.7,Lemah
2024-01-23 04:07:22,-3.93,133.81033,10.0,5.15,Sedang
2024-01-23 04:41:38,0.6,126.64046,25.9,3.51,Lemah
2024-01-23 06:06:56,2.13,98.97079,118.6,3.01,Lemah
2024-01-23 09:05:02,-1.44,100.50053,53.1,4.14,Sedang
2024-01-23 09:50:24,-10.19,124.03372,11.5,3.46,Lemah
2024-01-23 09:54:41,-0.67,135.76483,13.5,4.33,Sedang
2024-01-23 10:49:01,-9.09,118.97775,80.6,3.52,Lemah
