content,score,label
"Sinyal lag parah padahal pakai wifi kencang, tim selalu dapat yang noob, musuh pro semua. Moonton tolong perbaiki matchmaking!",5,Negative
"Game penuh bug, loading stuck di 99%, lag meski sinyal hijau. Moonton cuma fokus event, bugfix kapan?",5,Negative
"Fitur custom bikin HP lag, skill gak responsif, panas cepet. Moonton, hapus atau perbaiki fitur ini!",5,Negative
"Lag terus setiap match, padahal sinyal bagus. Menu feedback juga gak ada, Moonton gak peduli player!",5,Negative
"Server MLBB error, main 20 menit menang tapi bintang gak nambah. History match juga hilang, tolong diperbaiki!",5,Negative
"Matchmaking gak adil, tim epic ketemu musuh mythic. Moonton, otaknya mana? Susah naik rank gini!",5,Negative
"Update terbaru bikin game crash tiap menit, ganggu banget pas war. Moonton, tolong serius perbaiki!",5,Negative
"Server error, koneksi putus padahal jaringan stabil. Main lama tapi hasil gak kehitung, Moonton parah!",5,Negative
"Game makin aneh, event banyak tapi sistem matchmaking rusak. Jaringan lag tiap update, Moonton fokus cuan doang!",5,Negative
"Matchmaking bikin stres, tim selalu newbie, musuh pro. Moonton, perbaiki sistem tim biar adil!",5,Negative
"Jaringan lag parah, main 10 menit relog sendiri, akhirnya kalah. Moonton, servernya kapan beres?",5,Negative
"Download konten MLBB makan memori besar, HP kentang gak kuat. Moonton, pikirin player low-end dong!",5,Negative
"Matchmaking kacau, win streak 7 kalah 10. Bahasa toxic di game gak diban, Moonton tidur apa?",5,Negative
"Bug di MLBB gak habis-habis, menang di game tapi history kalah. Moonton cuma peduli cuan, player diabaikan!",5,Negative
"Lag sebulan lebih, ganti kartu gak ngefek. HP RAM 12 masih lag, Moonton perbaiki server dong!",5,Negative
"Matchmaking bikin emosi, tim selalu dark system, musuh pro. Moonton, tolong kasih tim seimbang!",5,Negative
"Game seru tapi server lag bikin lose streak. Moonton, fokus perbaiki jaringan, bukan cuma skin!",5,Negative
"Main rank susah banget, tim random gak ngerti main, musuh pro. Moonton, perbaiki matchmaking!",5,Negative
"Game lag parah, tombol skill gak responsif, joystick jalan sendiri. Moonton, bug ini kapan selesai?",5,Negative
"Server MLBB bikin bad mood, lag terus padahal wifi stabil. Moonton, tolong serius perbaiki!",5,Negative
"Matchmaking gak adil, solo player selalu dapat tim noob. Moonton, bikin sistem yang fair dong!",5,Negative
"Game crash pas war, bintang gak nambah meski menang. Moonton, servernya bikin frustrasi!",5,Negative
"Update bikin HP panas, lag parah, skill delay. Moonton, pikirin performa di HP low-end!",5,Negative
"Dark system di MLBB bikin cape, tim selalu lelet, musuh pro. Moonton, tolong balance tim!",5,Negative
"Bug skill hero, seperti Balmond gak kasih damage di mode offline. Moonton, tolong perbaiki!",5,Negative
"Game lag, ping hijau tiba-tiba merah. Moonton, servernya gak beres, player rugi terus!",5,Negative
"Matchmaking bikin stres, tim epic ketemu musuh immortal. Moonton, ini game apa siksaan?",5,Negative
"Event banyak tapi server lag, main rank gak nyaman. Moonton, fokus perbaiki jaringan!",5,Negative
"Game berat, HP RAM 4 gak kuat. Moonton, bikin versi lite buat player low-end dong!",5,Negative
"Dark system parah, tim gak ngerti rotasi, musuh pro. Moonton, tolong perbaiki matchmaking!",5,Negative
"Server lag bikin lose streak, padahal sinyal bagus. Moonton, kapan servernya stabil?",5,Negative
"Bug di emblem bikin texture berubah, ganggu main. Moonton, tolong perbaiki bug ini!",5,Negative
"Matchmaking bikin emosi, tim selalu newbie, musuh jago. Moonton, bikin sistem adil dong!",5,Negative
"Game lag parah, skill gak keluar, hero jalan sendiri. Moonton, bug ini bikin frustrasi!",5,Negative
"Server MLBB bikin kesel, lag di tengah match penting. Moonton, tolong optimasi jaringan!",5,Negative
"Main solo rank bikin stres, tim dark system terus. Moonton, perbaiki sistem tim!",5,Negative
"Game crash tiba-tiba, bintang gak nambah meski menang. Moonton, servernya kapan beres?",5,Negative
"Update bikin game berat, HP low-end gak kuat. Moonton, pikirin player biasa dong!",5,Negative
"Matchmaking gak adil, tim selalu lelet, musuh pro. Moonton, tolong bikin sistem fair!",5,Negative
"Server lag bikin kalah, padahal sinyal stabil. Moonton, fokus perbaiki server, bukan event!",5,Negative
"Bug di MLBB bikin kesel, skill delay, joystick error. Moonton, tolong perbaiki bug!",5,Negative
"Matchmaking bikin pusing, tim random gak ngerti main. Moonton, bikin sistem yang adil!",5,Negative
"Game lag parah, ping hijau tiba-tiba kuning. Moonton, servernya bikin player rugi!",5,Negative
